UN. DA FEDERAÇÃO;BAHIA;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 79.545 ; 80.309 ; 82.073 ; 81.522 ; 83.912 ; 85.057 ; 87.909 ; 93.161 ; 96.459 ; 91.766 ; 108.191 ; 121.849 ; 152.902 ; 158.610 ; 185.530 ; 207.031 ; 174.683 ; 202.833 ; 191.829 ; 180.092 ; 184.670 
Fevereiro; 81.350 ; 69.187 ; 72.855 ; 64.583 ; 74.032 ; 73.815 ; 80.039 ; 77.898 ; 80.429 ; 79.644 ; 99.693 ; 117.620 ; 135.287 ; 140.641 ; 161.048 ; 156.029 ; 174.254 ; 175.285 ; 159.016 ; 157.018 ; 170.176 
Março; 73.081 ; 72.899 ; 73.801 ; 63.746 ; 80.357 ; 85.265 ; 84.084 ; 86.012 ; 84.353 ; 84.806 ; 114.610 ; 130.416 ; 146.401 ; 151.525 ; 163.094 ; 169.596 ; 190.786 ; 199.633 ; 182.540 ; 161.466 ; 147.940 
Abril; 72.319 ; 70.777 ; 73.456 ; 67.375 ; 82.549 ; 78.014 ; 77.102 ; 82.177 ; 81.932 ; 84.737 ; 100.939 ; 131.410 ; 142.199 ; 153.672 ; 176.541 ; 165.182 ; 179.619 ; 184.210 ; 172.997 ; 168.851 ; 131.587 
Maio; 74.123 ; 72.617 ; 73.766 ; 69.994 ; 76.280 ; 80.354 ; 82.376 ; 80.565 ; 82.012 ; 78.605 ; 98.131 ; 130.418 ; 145.112 ; 157.582 ; 173.618 ; 157.670 ; 173.977 ; 188.364 ; 162.050 ; 165.406 ; 138.301 
Junho; 82.608 ; 77.066 ; 71.004 ; 70.168 ; 79.867 ; 84.169 ; 83.018 ; 85.406 ; 83.965 ; 84.170 ; 102.049 ; 132.126 ; 153.151 ; 157.336 ; 171.859 ; 168.707 ; 180.980 ; 193.932 ; 165.661 ; 159.715 ; 145.445 
Julho; 74.718 ; 69.957 ; 73.556 ; 73.845 ; 81.976 ; 80.828 ; 79.470 ; 77.720 ; 88.089 ; 87.669 ; 100.202 ; 130.141 ; 149.959 ; 166.865 ; 176.018 ; 170.200 ; 176.510 ; 185.898 ; 162.631 ; 170.448 ; 159.461 
Agosto; 78.766 ; 74.491 ; 54.820 ; 71.468 ; 82.821 ; 85.446 ; 85.806 ; 79.045 ; 85.717 ; 82.361 ; 101.287 ; 135.922 ; 162.504 ; 167.241 ; 175.032 ; 162.411 ; 182.386 ; 187.555 ; 171.613 ; 169.235 ; 157.259 
Setembro; 79.296 ; 68.970 ; 70.737 ; 73.348 ; 88.351 ; 82.939 ; 85.457 ; 74.745 ; 92.895 ; 86.024 ; 105.779 ; 135.681 ; 155.795 ; 159.186 ; 181.471 ; 168.706 ; 193.118 ; 174.664 ; 148.646 ; 163.846 ; 175.575 
Outubro; 76.163 ; 74.123 ; 84.151 ; 82.297 ; 86.795 ; 80.448 ; 82.347 ; 85.566 ; 93.670 ; 93.116 ; 104.878 ; 131.788 ; 168.674 ; 174.399 ; 195.675 ; 168.770 ; 185.872 ; 181.101 ; 159.855 ; 178.189 ;
Novembro; 73.630 ; 72.242 ; 65.548 ; 73.852 ; 81.151 ; 79.860 ; 81.433 ; 77.399 ; 80.676 ; 89.602 ; 108.070 ; 131.539 ; 151.224 ; 169.437 ; 169.210 ; 155.895 ; 181.552 ; 173.002 ; 152.878 ; 171.160 ;
Dezembro; 81.414 ; 77.887 ; 83.645 ; 93.521 ; 97.201 ; 96.527 ; 97.384 ; 89.217 ; 99.896 ; 113.965 ; 129.576 ; 159.915 ; 179.522 ; 187.238 ; 215.920 ; 200.598 ; 216.855 ; 204.659 ; 181.056 ; 198.257 ;
Total do Ano; 927.014 ; 880.527 ; 879.411 ; 885.719 ; 995.292 ; 992.722 ; 1.006.425 ; 988.912 ; 1.050.094 ; 1.056.463 ; 1.273.406 ; 1.588.826 ; 1.842.730 ; 1.943.731 ; 2.145.017 ; 2.050.794 ; 2.210.593 ; 2.251.136 ; 2.010.770 ; 2.043.683 ; 1.410.412 
