UN. DA FEDERAÇÃO;PARANÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 131.276 ; 122.256 ; 125.037 ; 116.699 ; 127.894 ; 127.580 ; 132.397 ; 131.591 ; 134.848 ; 133.075 ; 164.566 ; 158.439 ; 215.974 ; 224.390 ; 221.543 ; 242.220 ; 211.829 ; 252.230 ; 218.531 ; 197.555 ; 207.317 
Fevereiro; 139.828 ; 112.503 ; 121.912 ; 100.447 ; 119.384 ; 136.382 ; 131.399 ; 122.115 ; 130.644 ; 126.710 ; 154.864 ; 159.409 ; 214.505 ; 191.644 ; 218.322 ; 196.024 ; 221.689 ; 247.561 ; 214.948 ; 191.060 ; 211.407 
Março; 132.675 ; 123.294 ; 117.156 ; 106.600 ; 132.296 ; 147.905 ; 141.531 ; 141.970 ; 135.966 ; 145.903 ; 169.615 ; 217.580 ; 231.519 ; 223.614 ; 233.849 ; 210.898 ; 249.211 ; 277.734 ; 249.649 ; 202.681 ; 194.623 
Abril; 135.279 ; 123.539 ; 119.122 ; 123.201 ; 137.753 ; 146.229 ; 135.684 ; 134.296 ; 141.288 ; 124.178 ; 152.586 ; 223.972 ; 220.432 ; 230.203 ; 247.261 ; 216.098 ; 241.812 ; 260.449 ; 235.233 ; 211.598 ; 164.210 
Maio; 137.303 ; 123.959 ; 116.745 ; 133.467 ; 120.190 ; 147.647 ; 137.113 ; 138.699 ; 139.723 ; 124.144 ; 145.531 ; 184.735 ; 227.629 ; 234.575 ; 244.471 ; 205.935 ; 233.989 ; 267.466 ; 208.016 ; 205.566 ; 191.482 
Junho; 141.272 ; 127.604 ; 107.716 ; 116.988 ; 120.699 ; 145.774 ; 130.726 ; 134.269 ; 135.283 ; 124.869 ; 145.753 ; 178.741 ; 221.433 ; 216.155 ; 227.422 ; 212.838 ; 225.582 ; 269.132 ; 199.790 ; 194.760 ; 197.213 
Julho; 120.306 ; 120.760 ; 118.555 ; 128.199 ; 135.502 ; 143.832 ; 130.068 ; 131.979 ; 144.768 ; 129.177 ; 154.348 ; 189.659 ; 225.338 ; 235.630 ; 245.260 ; 217.594 ; 232.013 ; 271.564 ; 197.133 ; 215.414 ; 204.151 
Agosto; 124.057 ; 127.634 ; 115.812 ; 121.011 ; 131.435 ; 162.848 ; 140.253 ; 138.544 ; 140.052 ; 123.332 ; 151.990 ; 202.203 ; 240.680 ; 241.716 ; 245.023 ; 206.725 ; 238.390 ; 252.244 ; 207.222 ; 215.825 ; 202.674 
Setembro; 127.457 ; 121.386 ; 115.168 ; 123.245 ; 138.819 ; 142.975 ; 137.611 ; 129.475 ; 145.923 ; 128.419 ; 152.006 ; 213.003 ; 226.617 ; 223.176 ; 245.480 ; 207.683 ; 237.547 ; 237.519 ; 182.649 ; 204.474 ; 212.412 
Outubro; 126.089 ; 125.634 ; 129.893 ; 134.114 ; 133.062 ; 130.628 ; 138.167 ; 142.549 ; 149.011 ; 141.649 ; 153.718 ; 208.506 ; 245.864 ; 242.098 ; 263.043 ; 215.188 ; 241.318 ; 236.691 ; 194.259 ; 220.410 ;
Novembro; 127.218 ; 119.576 ; 114.059 ; 122.920 ; 127.756 ; 133.371 ; 134.883 ; 135.761 ; 135.471 ; 132.295 ; 156.973 ; 213.802 ; 225.960 ; 235.424 ; 226.505 ; 208.549 ; 253.671 ; 234.765 ; 199.034 ; 215.761 ;
Dezembro; 140.577 ; 128.941 ; 133.923 ; 153.267 ; 156.025 ; 159.286 ; 155.974 ; 157.981 ; 166.689 ; 170.312 ; 183.716 ; 252.955 ; 275.322 ; 254.078 ; 268.495 ; 251.428 ; 294.521 ; 258.015 ; 229.311 ; 239.859 ;
Total do Ano; 1.583.337 ; 1.477.085 ; 1.435.096 ; 1.480.157 ; 1.580.815 ; 1.724.457 ; 1.645.806 ; 1.639.229 ; 1.699.665 ; 1.604.063 ; 1.885.665 ; 2.403.005 ; 2.771.272 ; 2.752.702 ; 2.886.674 ; 2.591.180 ; 2.881.573 ; 3.065.370 ; 2.535.774 ; 2.514.962 ; 1.785.490 
