UN. DA FEDERAÇÃO;PERNAMBUCO;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 51.906 ; 49.183 ; 49.306 ; 49.313 ; 50.400 ; 52.187 ; 53.411 ; 55.614 ; 55.080 ; 57.477 ; 66.043 ; 78.607 ; 101.164 ; 114.548 ; 124.859 ; 136.572 ; 113.352 ; 128.474 ; 118.498 ; 109.623 ; 112.079 
Fevereiro; 62.860 ; 45.719 ; 45.507 ; 42.014 ; 45.409 ; 48.340 ; 48.269 ; 50.369 ; 50.631 ; 50.540 ; 68.389 ; 75.867 ; 97.914 ; 101.076 ; 115.766 ; 103.363 ; 111.948 ; 119.500 ; 102.104 ; 102.371 ; 107.730 
Março; 51.837 ; 49.286 ; 48.681 ; 42.037 ; 50.837 ; 54.725 ; 54.198 ; 53.679 ; 52.962 ; 55.891 ; 81.381 ; 90.327 ; 106.991 ; 110.632 ; 121.668 ; 115.451 ; 120.347 ; 133.349 ; 122.576 ; 106.428 ; 94.905 
Abril; 52.069 ; 47.619 ; 49.394 ; 45.656 ; 51.847 ; 51.299 ; 48.089 ; 47.296 ; 52.407 ; 57.772 ; 72.064 ; 88.270 ; 100.276 ; 112.252 ; 124.858 ; 120.706 ; 112.540 ; 120.010 ; 109.241 ; 113.171 ; 81.030 
Maio; 54.716 ; 49.844 ; 48.148 ; 44.190 ; 50.066 ; 52.221 ; 52.451 ; 49.252 ; 51.278 ; 52.912 ; 70.361 ; 86.067 ; 103.842 ; 113.131 ; 121.151 ; 113.043 ; 117.074 ; 126.839 ; 96.453 ; 114.420 ; 84.202 
Junho; 51.552 ; 50.704 ; 46.149 ; 44.404 ; 49.730 ; 50.296 ; 51.703 ; 50.010 ; 51.923 ; 55.351 ; 68.723 ; 91.598 ; 103.474 ; 107.958 ; 115.904 ; 110.632 ; 116.211 ; 126.043 ; 109.616 ; 107.548 ; 94.996 
Julho; 43.245 ; 45.088 ; 48.504 ; 46.297 ; 51.008 ; 49.804 ; 51.274 ; 50.343 ; 56.752 ; 57.826 ; 71.745 ; 88.613 ; 102.285 ; 117.905 ; 120.565 ; 113.560 ; 116.303 ; 122.179 ; 101.624 ; 116.282 ; 105.047 
Agosto; 45.798 ; 49.123 ; 47.717 ; 46.249 ; 52.322 ; 54.713 ; 56.264 ; 48.397 ; 58.330 ; 56.632 ; 72.784 ; 98.039 ; 111.803 ; 116.600 ; 122.166 ; 110.115 ; 125.352 ; 124.414 ; 116.276 ; 118.671 ; 107.417 
Setembro; 47.325 ; 47.728 ; 49.708 ; 48.081 ; 52.713 ; 51.559 ; 56.545 ; 47.199 ; 62.931 ; 58.699 ; 77.141 ; 97.730 ; 107.623 ; 111.971 ; 127.666 ; 111.207 ; 127.029 ; 117.962 ; 102.705 ; 115.250 ; 113.355 
Outubro; 46.359 ; 48.252 ; 55.235 ; 52.883 ; 55.188 ; 52.783 ; 56.428 ; 56.662 ; 63.086 ; 64.107 ; 78.190 ; 99.044 ; 119.264 ; 121.649 ; 134.683 ; 114.206 ; 125.031 ; 126.141 ; 107.328 ; 121.957 ;
Novembro; 49.192 ; 47.385 ; 46.768 ; 48.933 ; 50.956 ; 50.722 ; 52.858 ; 54.125 ; 56.120 ; 61.787 ; 80.413 ; 99.345 ; 109.958 ; 120.274 ; 122.920 ; 107.111 ; 124.481 ; 119.661 ; 104.463 ; 118.565 ;
Dezembro; 52.271 ; 49.854 ; 52.880 ; 59.932 ; 60.026 ; 61.009 ; 56.156 ; 59.011 ; 65.442 ; 72.333 ; 91.700 ; 113.360 ; 125.631 ; 131.500 ; 145.016 ; 121.757 ; 131.481 ; 130.412 ; 120.254 ; 123.581 ;
Total do Ano; 609.128 ; 579.786 ; 587.997 ; 569.990 ; 620.504 ; 629.655 ; 637.646 ; 621.960 ; 676.940 ; 701.325 ; 898.933 ; 1.106.866 ; 1.290.226 ; 1.379.495 ; 1.497.222 ; 1.377.724 ; 1.441.150 ; 1.494.982 ; 1.311.138 ; 1.367.867 ; 900.761 
