UN. DA FEDERAÇÃO;SANTA CATARINA;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 90.238 ; 99.467 ; 109.421 ; 105.948 ; 114.037 ; 111.911 ; 125.394 ; 116.942 ; 117.010 ; 117.862 ; 146.782 ; 159.750 ; 181.400 ; 199.878 ; 221.466 ; 237.025 ; 222.994 ; 243.097 ; 243.293 ; 250.246 ; 254.169 
Fevereiro; 96.827 ; 88.665 ; 102.607 ; 92.751 ; 105.137 ; 105.662 ; 125.005 ; 105.558 ; 111.827 ; 113.539 ; 141.027 ; 154.002 ; 181.082 ; 178.485 ; 204.253 ; 198.120 ; 224.015 ; 225.621 ; 228.129 ; 228.801 ; 239.904 
Março; 86.663 ; 93.463 ; 93.629 ; 85.925 ; 108.329 ; 116.243 ; 134.355 ; 113.059 ; 111.879 ; 114.913 ; 153.369 ; 170.728 ; 185.819 ; 190.638 ; 206.609 ; 207.279 ; 232.097 ; 249.653 ; 248.554 ; 237.383 ; 193.698 
Abril; 87.132 ; 89.426 ; 93.368 ; 90.428 ; 113.296 ; 106.740 ; 122.908 ; 109.465 ; 114.169 ; 118.420 ; 144.764 ; 167.843 ; 174.862 ; 192.593 ; 214.270 ; 218.123 ; 219.865 ; 222.028 ; 233.188 ; 238.140 ; 171.045 
Maio; 84.779 ; 90.326 ; 95.851 ; 95.402 ; 101.173 ; 107.458 ; 114.277 ; 109.848 ; 108.693 ; 108.368 ; 135.127 ; 157.864 ; 175.432 ; 193.433 ; 206.470 ; 197.986 ; 213.561 ; 225.312 ; 192.141 ; 230.064 ; 192.265 
Junho; 95.783 ; 92.705 ; 87.266 ; 91.201 ; 102.321 ; 106.937 ; 112.181 ; 107.395 ; 106.354 ; 111.459 ; 136.264 ; 158.950 ; 173.625 ; 178.350 ; 190.796 ; 204.545 ; 210.114 ; 228.400 ; 218.638 ; 217.145 ; 200.161 
Julho; 86.011 ; 84.928 ; 93.314 ; 101.873 ; 109.668 ; 107.704 ; 116.427 ; 106.473 ; 115.554 ; 119.914 ; 143.821 ; 160.082 ; 176.576 ; 196.475 ; 207.496 ; 215.030 ; 217.341 ; 227.562 ; 216.146 ; 238.324 ; 212.172 
Agosto; 84.710 ; 92.438 ; 95.741 ; 94.981 ; 109.448 ; 114.041 ; 120.763 ; 112.289 ; 109.528 ; 110.389 ; 143.638 ; 169.428 ; 189.914 ; 199.746 ; 209.298 ; 205.608 ; 220.559 ; 230.319 ; 228.612 ; 239.102 ; 203.618 
Setembro; 92.420 ; 86.985 ; 95.288 ; 97.614 ; 115.041 ; 109.800 ; 126.574 ; 102.707 ; 115.933 ; 116.203 ; 147.794 ; 169.362 ; 177.179 ; 187.810 ; 213.690 ; 205.704 ; 226.173 ; 224.441 ; 207.779 ; 226.249 ; 221.286 
Outubro; 90.161 ; 89.674 ; 110.015 ; 105.797 ; 109.613 ; 102.405 ; 119.669 ; 114.877 ; 118.521 ; 130.252 ; 150.308 ; 165.859 ; 197.162 ; 209.025 ; 231.281 ; 215.386 ; 221.094 ; 232.112 ; 227.994 ; 250.993 ;
Novembro; 91.531 ; 91.687 ; 89.648 ; 96.852 ; 106.552 ; 120.640 ; 116.210 ; 111.237 ; 108.289 ; 127.397 ; 157.117 ; 171.546 ; 193.332 ; 207.560 ; 209.532 ; 204.355 ; 228.857 ; 233.796 ; 235.210 ; 249.340 ;
Dezembro; 102.189 ; 99.902 ; 116.828 ; 126.494 ; 130.033 ; 143.528 ; 144.765 ; 129.212 ; 138.220 ; 162.986 ; 187.174 ; 203.240 ; 219.077 ; 230.087 ; 256.302 ; 251.470 ; 264.102 ; 264.676 ; 270.529 ; 279.532 ;
Total do Ano; 1.088.445 ; 1.099.666 ; 1.182.974 ; 1.185.265 ; 1.324.646 ; 1.353.069 ; 1.478.528 ; 1.339.062 ; 1.375.978 ; 1.451.703 ; 1.787.185 ; 2.008.654 ; 2.225.459 ; 2.364.079 ; 2.571.463 ; 2.560.630 ; 2.700.772 ; 2.807.016 ; 2.750.213 ; 2.885.318 ; 1.888.319 
