UN. DA FEDERAÇÃO;SERGIPE;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 12.293 ; 12.644 ; 12.997 ; 13.598 ; 13.045 ; 13.900 ; 14.529 ; 15.577 ; 16.811 ; 17.695 ; 19.886 ; 23.576 ; 27.528 ; 30.473 ; 34.045 ; 36.324 ; 31.534 ; 34.092 ; 32.948 ; 31.716 ; 31.158 
Fevereiro; 13.171 ; 11.186 ; 11.711 ; 11.282 ; 11.740 ; 12.555 ; 13.514 ; 13.351 ; 15.091 ; 15.778 ; 18.730 ; 22.094 ; 25.939 ; 26.753 ; 31.390 ; 29.973 ; 31.948 ; 32.235 ; 29.660 ; 30.140 ; 30.120 
Março; 12.177 ; 12.068 ; 12.014 ; 10.019 ; 13.400 ; 13.974 ; 14.606 ; 14.873 ; 14.927 ; 16.827 ; 21.995 ; 25.158 ; 28.067 ; 30.063 ; 31.869 ; 32.413 ; 34.044 ; 35.590 ; 34.774 ; 31.410 ; 26.591 
Abril; 11.931 ; 11.667 ; 12.532 ; 11.189 ; 13.243 ; 13.027 ; 13.097 ; 14.026 ; 15.681 ; 17.421 ; 20.161 ; 23.912 ; 27.127 ; 29.974 ; 33.761 ; 32.916 ; 32.318 ; 33.292 ; 31.686 ; 31.868 ; 24.226 
Maio; 12.751 ; 12.424 ; 12.683 ; 12.198 ; 12.654 ; 13.450 ; 13.938 ; 14.247 ; 15.489 ; 15.322 ; 20.449 ; 23.817 ; 27.147 ; 30.083 ; 32.800 ; 30.546 ; 32.186 ; 33.759 ; 30.299 ; 32.084 ; 24.587 
Junho; 12.999 ; 12.037 ; 11.562 ; 11.789 ; 13.409 ; 13.629 ; 13.994 ; 14.618 ; 15.422 ; 16.878 ; 20.080 ; 24.815 ; 27.419 ; 29.152 ; 31.156 ; 31.811 ; 32.234 ; 34.285 ; 29.744 ; 29.372 ; 27.139 
Julho; 11.471 ; 11.195 ; 12.094 ; 11.879 ; 12.861 ; 12.750 ; 12.726 ; 13.888 ; 16.285 ; 17.558 ; 20.811 ; 23.435 ; 26.936 ; 29.672 ; 32.452 ; 32.578 ; 32.329 ; 32.795 ; 30.153 ; 31.755 ; 28.619 
Agosto; 12.407 ; 12.092 ; 12.526 ; 12.172 ; 13.474 ; 13.800 ; 14.968 ; 14.889 ; 16.326 ; 16.407 ; 21.705 ; 25.840 ; 29.664 ; 31.266 ; 33.163 ; 31.097 ; 33.228 ; 33.829 ; 32.736 ; 33.412 ; 28.594 
Setembro; 12.763 ; 11.297 ; 12.859 ; 12.697 ; 14.475 ; 14.012 ; 14.801 ; 13.597 ; 17.782 ; 17.317 ; 22.605 ; 25.692 ; 28.211 ; 30.333 ; 34.650 ; 32.539 ; 34.930 ; 31.938 ; 28.268 ; 31.342 ; 31.297 
Outubro; 12.436 ; 12.362 ; 14.222 ; 13.223 ; 13.738 ; 12.938 ; 14.249 ; 16.032 ; 18.117 ; 19.275 ; 22.568 ; 25.399 ; 30.548 ; 32.327 ; 36.639 ; 33.238 ; 33.764 ; 33.143 ; 29.256 ; 33.738 ;
Novembro; 12.045 ; 11.669 ; 12.213 ; 11.229 ; 13.518 ; 13.443 ; 14.354 ; 14.933 ; 16.120 ; 17.797 ; 23.436 ; 25.200 ; 29.229 ; 31.712 ; 32.268 ; 30.809 ; 32.728 ; 31.828 ; 28.827 ; 30.563 ;
Dezembro; 12.708 ; 12.260 ; 14.528 ; 14.760 ; 15.270 ; 15.482 ; 16.039 ; 16.351 ; 19.282 ; 21.798 ; 26.640 ; 29.464 ; 32.279 ; 35.089 ; 38.907 ; 36.502 ; 37.010 ; 34.644 ; 31.766 ; 32.683 ;
Total do Ano; 149.153 ; 142.901 ; 151.941 ; 146.035 ; 160.827 ; 162.960 ; 170.815 ; 176.382 ; 197.333 ; 210.071 ; 259.063 ; 298.401 ; 340.092 ; 366.897 ; 403.098 ; 390.747 ; 398.252 ; 401.428 ; 370.116 ; 380.080 ; 252.329 
