UN. DA FEDERAÇÃO;TOCANTINS;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 6.962 ; 7.404 ; 8.731 ; 9.017 ; 9.631 ; 10.389 ; 9.274 ; 12.803 ; 13.247 ; 14.313 ; 17.013 ; 17.326 ; 21.313 ; 24.629 ; 26.835 ; 30.724 ; 26.704 ; 30.532 ; 29.445 ; 29.096 ; 29.724 
Fevereiro; 7.028 ; 6.896 ; 7.770 ; 7.417 ; 8.757 ; 8.934 ; 9.127 ; 11.120 ; 12.556 ; 12.574 ; 16.635 ; 17.380 ; 21.100 ; 21.214 ; 25.049 ; 25.078 ; 28.590 ; 27.907 ; 27.306 ; 27.492 ; 28.148 
Março; 6.616 ; 7.649 ; 7.904 ; 7.064 ; 9.701 ; 10.618 ; 10.461 ; 12.589 ; 12.952 ; 13.980 ; 19.485 ; 20.799 ; 22.799 ; 24.037 ; 26.044 ; 27.291 ; 30.377 ; 32.182 ; 30.555 ; 28.612 ; 26.681 
Abril; 6.700 ; 7.672 ; 8.551 ; 7.281 ; 10.614 ; 10.242 ; 10.149 ; 12.696 ; 13.704 ; 13.910 ; 17.270 ; 20.780 ; 23.426 ; 25.184 ; 28.404 ; 28.652 ; 29.440 ; 29.895 ; 28.899 ; 29.991 ; 25.668 
Maio; 7.175 ; 7.976 ; 8.494 ; 8.559 ; 10.382 ; 11.034 ; 11.052 ; 13.335 ; 14.212 ; 13.593 ; 16.969 ; 20.536 ; 24.165 ; 25.762 ; 29.088 ; 27.584 ; 29.767 ; 32.924 ; 28.658 ; 31.310 ; 24.924 
Junho; 8.480 ; 8.426 ; 8.143 ; 8.652 ; 10.815 ; 11.099 ; 10.898 ; 13.076 ; 14.197 ; 14.387 ; 16.821 ; 19.913 ; 23.971 ; 24.994 ; 28.192 ; 28.782 ; 29.665 ; 32.651 ; 27.075 ; 28.237 ; 27.392 
Julho; 8.046 ; 9.073 ; 9.852 ; 10.661 ; 12.871 ; 12.577 ; 12.769 ; 14.817 ; 16.639 ; 16.962 ; 19.674 ; 22.722 ; 28.006 ; 30.221 ; 30.734 ; 32.764 ; 32.592 ; 35.292 ; 31.146 ; 34.630 ; 30.992 
Agosto; 7.734 ; 8.605 ; 9.082 ; 9.546 ; 11.614 ; 11.796 ; 12.281 ; 13.504 ; 15.125 ; 14.460 ; 17.866 ; 21.600 ; 26.503 ; 26.743 ; 30.192 ; 28.276 ; 31.581 ; 32.266 ; 29.868 ; 31.241 ; 28.501 
Setembro; 8.268 ; 7.760 ; 8.865 ; 9.001 ; 11.932 ; 11.315 ; 12.833 ; 12.336 ; 16.432 ; 14.752 ; 19.197 ; 21.281 ; 25.535 ; 25.992 ; 31.105 ; 29.461 ; 31.465 ; 30.669 ; 26.606 ; 29.960 ; 30.234 
Outubro; 7.398 ; 9.485 ; 9.916 ; 9.782 ; 10.674 ; 9.412 ; 11.054 ; 13.491 ; 15.626 ; 15.587 ; 17.667 ; 21.080 ; 27.334 ; 27.146 ; 31.641 ; 29.434 ; 29.436 ; 30.993 ; 28.046 ; 31.093 ;
Novembro; 7.153 ; 7.242 ; 7.920 ; 9.165 ; 10.272 ; 9.218 ; 10.659 ; 12.643 ; 13.257 ; 14.567 ; 17.764 ; 20.995 ; 24.036 ; 26.185 ; 27.745 ; 27.031 ; 29.346 ; 29.433 ; 29.121 ; 29.893 ;
Dezembro; 7.522 ; 7.503 ; 9.113 ; 11.147 ; 11.995 ; 11.331 ; 12.701 ; 14.639 ; 16.146 ; 18.542 ; 20.900 ; 25.262 ; 28.014 ; 30.166 ; 35.317 ; 33.105 ; 34.594 ; 34.590 ; 32.248 ; 33.846 ;
Total do Ano; 89.082 ; 95.690 ; 104.341 ; 107.291 ; 129.260 ; 127.963 ; 133.260 ; 157.049 ; 174.092 ; 177.626 ; 217.261 ; 249.674 ; 296.202 ; 312.274 ; 350.345 ; 348.183 ; 363.558 ; 379.335 ; 348.974 ; 365.402 ; 252.263 
