UN. DA FEDERAÇÃO;MATO GROSSO DO SUL;;;;;;;;;;;;;;;;;;;;
PRODUTO;GLP (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 11.493 ; 12.795 ; 11.016 ; 10.361 ; 10.889 ; 10.479 ; 10.762 ; 10.666 ; 10.579 ; 10.628 ; 10.921 ; 11.546 ; 12.031 ; 12.754 ; 13.333 ; 13.333 ; 13.024 ; 13.450 ; 13.936 ; 13.432 ; 13.774 
Fevereiro; 12.141 ; 11.590 ; 11.230 ; 10.306 ; 9.460 ; 10.445 ; 9.898 ; 10.045 ; 10.532 ; 10.402 ; 11.010 ; 11.646 ; 12.420 ; 12.301 ; 13.111 ; 13.279 ; 13.629 ; 12.999 ; 13.058 ; 13.303 ; 14.138 
Março; 13.404 ; 13.749 ; 13.132 ; 11.726 ; 11.078 ; 11.149 ; 11.836 ; 11.587 ; 11.295 ; 11.430 ; 12.610 ; 13.310 ; 13.514 ; 12.787 ; 13.931 ; 14.754 ; 14.947 ; 15.417 ; 14.459 ; 14.447 ; 16.281 
Abril; 12.659 ; 13.226 ; 10.802 ; 10.839 ; 11.294 ; 10.757 ; 10.741 ; 10.611 ; 11.540 ; 11.246 ; 11.942 ; 12.349 ; 12.539 ; 13.972 ; 13.897 ; 14.300 ; 13.612 ; 12.378 ; 14.308 ; 15.060 ; 15.038 
Maio; 13.656 ; 14.128 ; 12.370 ; 12.025 ; 12.332 ; 11.404 ; 12.295 ; 11.816 ; 11.778 ; 11.429 ; 12.941 ; 13.451 ; 14.348 ; 14.348 ; 15.051 ; 14.777 ; 15.501 ; 14.199 ; 12.311 ; 15.617 ; 15.191 
Junho; 14.201 ; 13.831 ; 11.086 ; 10.783 ; 12.188 ; 11.647 ; 11.942 ; 11.541 ; 11.820 ; 12.470 ; 13.446 ; 13.860 ; 14.028 ; 13.437 ; 14.666 ; 15.388 ; 16.281 ; 15.579 ; 18.259 ; 14.317 ; 15.878 
Julho; 14.614 ; 13.648 ; 12.848 ; 12.205 ; 12.427 ; 12.183 ; 11.755 ; 12.112 ; 12.404 ; 12.885 ; 14.086 ; 13.631 ; 14.938 ; 15.491 ; 16.748 ; 17.060 ; 15.572 ; 15.239 ; 14.801 ; 17.013 ; 16.876 
Agosto; 13.496 ; 13.261 ; 10.176 ; 11.840 ; 11.815 ; 12.757 ; 12.106 ; 12.419 ; 11.613 ; 12.542 ; 13.946 ; 14.924 ; 15.137 ; 15.490 ; 15.163 ; 15.331 ; 16.012 ; 16.064 ; 16.443 ; 16.169 ; 16.036 
Setembro; 13.335 ; 12.253 ; 10.875 ; 11.758 ; 10.984 ; 11.869 ; 11.473 ; 10.542 ; 12.074 ; 11.631 ; 12.387 ; 13.175 ; 12.382 ; 13.518 ; 14.974 ; 14.469 ; 15.330 ; 14.166 ; 15.023 ; 14.179 ; 14.688 
Outubro; 12.826 ; 12.897 ; 12.591 ; 11.379 ; 11.402 ; 11.167 ; 11.320 ; 11.116 ; 11.736 ; 11.616 ; 12.284 ; 12.832 ; 13.862 ; 14.314 ; 14.783 ; 14.690 ; 14.061 ; 14.126 ; 15.388 ; 15.553 ;
Novembro; 12.966 ; 11.912 ; 11.348 ; 10.333 ; 11.156 ; 11.004 ; 10.747 ; 10.883 ; 10.791 ; 10.690 ; 12.717 ; 12.940 ; 12.438 ; 13.094 ; 14.183 ; 13.152 ; 14.402 ; 14.452 ; 15.144 ; 13.888 ;
Dezembro; 12.422 ; 13.711 ; 10.919 ; 11.960 ; 11.696 ; 11.578 ; 11.328 ; 11.045 ; 11.384 ; 12.181 ; 12.778 ; 13.058 ; 12.860 ; 13.565 ; 14.921 ; 14.869 ; 14.670 ; 14.095 ; 14.189 ; 15.260 ;
Total do Ano; 157.211 ; 156.999 ; 138.394 ; 135.514 ; 136.722 ; 136.439 ; 136.204 ; 134.383 ; 137.546 ; 139.150 ; 151.068 ; 156.722 ; 160.497 ; 165.071 ; 174.761 ; 175.403 ; 177.041 ; 172.165 ; 177.320 ; 178.239 ; 137.899 
