UN. DA FEDERAÇÃO;PARAÍBA;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 709 ; 1.138 ; 1.460 ; 1.038 ; 339 ; 272 ; 759 ; 1.585 ; 1.508 ; 1.482 ; 2.227 ; 2.722 ; 4.409 ; 4.139 ; 4.092 ; 5.248 ; 5.425 ; 4.469 ; 5.211 ; 5.485 ; 4.919 
Fevereiro; 732 ; 852 ; 1.261 ; 739 ; 389 ; 241 ; 663 ; 1.516 ; 1.361 ; 1.174 ; 1.870 ; 2.540 ; 3.879 ; 3.265 ; 3.196 ; 4.103 ; 3.864 ; 3.256 ; 3.762 ; 3.531 ; 3.655 
Março; 671 ; 851 ; 1.191 ; 607 ; 527 ; 274 ; 1.181 ; 1.625 ; 1.390 ; 1.276 ; 2.326 ; 2.709 ; 3.471 ; 3.492 ; 3.499 ; 4.627 ; 3.697 ; 3.614 ; 3.338 ; 3.736 ; 2.775 
Abril; 517 ; 1.156 ; 1.252 ; 589 ; 566 ; 416 ; 1.061 ; 1.626 ; 1.416 ; 1.211 ; 2.218 ; 2.932 ; 3.614 ; 3.345 ; 3.283 ; 4.184 ; 2.919 ; 3.012 ; 3.199 ; 3.228 ; 255 
Maio; 671 ; 955 ; 1.389 ; 434 ; 556 ; 427 ; 1.141 ; 1.697 ; 1.137 ; 1.144 ; 2.272 ; 2.831 ; 3.792 ; 3.427 ; 3.310 ; 4.161 ; 3.433 ; 2.934 ; 3.222 ; 3.064 ; 275 
Junho; 584 ; 724 ; 1.411 ; 445 ; 548 ; 411 ; 1.068 ; 1.622 ; 1.004 ; 1.130 ; 2.110 ; 3.496 ; 4.038 ; 3.203 ; 2.817 ; 3.931 ; 3.589 ; 2.939 ; 3.879 ; 3.075 ; 584 
Julho; 732 ; 1.003 ; 1.063 ; 335 ; 585 ; 545 ; 1.121 ; 1.723 ; 1.025 ; 1.488 ; 2.279 ; 4.279 ; 4.198 ; 3.586 ; 3.637 ; 4.352 ; 4.171 ; 4.119 ; 4.901 ; 3.599 ; 891 
Agosto; 832 ; 929 ; 2.616 ; 268 ; 618 ; 637 ; 1.358 ; 1.508 ; 756 ; 1.429 ; 1.950 ; 4.039 ; 3.827 ; 3.312 ; 3.533 ; 3.676 ; 3.556 ; 3.790 ; 3.769 ; 2.807 ; 1.209 
Setembro; 751 ; 1.055 ; 1.670 ; 331 ; 585 ; 944 ; 1.584 ; 1.352 ; 768 ; 1.647 ; 2.073 ; 3.886 ; 3.771 ; 3.208 ; 3.569 ; 3.584 ; 3.430 ; 3.698 ; 3.640 ; 2.850 ; 1.350 
Outubro; 977 ; 1.339 ; 1.768 ; 266 ; 539 ; 1.187 ; 1.597 ; 1.446 ; 898 ; 1.793 ; 2.216 ; 4.041 ; 3.762 ; 3.422 ; 4.065 ; 3.777 ; 3.669 ; 3.880 ; 3.864 ; 3.106 ;
Novembro; 867 ; 1.335 ; 1.161 ; 270 ; 574 ; 1.070 ; 1.529 ; 1.129 ; 1.209 ; 1.784 ; 2.257 ; 3.891 ; 3.727 ; 3.314 ; 4.372 ; 4.009 ; 3.344 ; 3.605 ; 4.059 ; 3.511 ;
Dezembro; 1.204 ; 1.445 ; 932 ; 356 ; 335 ; 637 ; 1.659 ; 1.466 ; 1.347 ; 2.252 ; 2.485 ; 4.186 ; 3.794 ; 3.708 ; 4.675 ; 4.377 ; 3.958 ; 4.354 ; 5.128 ; 4.491 ;
Total do Ano; 9.245 ; 12.782 ; 17.175 ; 5.678 ; 6.161 ; 7.060 ; 14.720 ; 18.296 ; 13.820 ; 17.810 ; 26.283 ; 41.552 ; 46.282 ; 41.423 ; 44.049 ; 50.028 ; 45.053 ; 43.668 ; 47.974 ; 42.483 ; 15.913 
