UN. DA FEDERAÇÃO;RIO DE JANEIRO;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE ILUMINANTE (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 1.382 ; 1.371 ; 2.366 ; 1.137 ; 273 ; 343 ; 116 ; 109 ; 101 ; -   ; -   ; 2 ; 0 ; -   ; -   ; 10 ; 47 ; 39 ; 41 ; 27 ; 19 
Fevereiro; 1.080 ; 1.722 ; 2.349 ; 1.075 ; 301 ; 183 ; 73 ; 149 ; 102 ; 13 ; -   ; -   ; -   ; -   ; -   ; 3 ; 46 ; 50 ; 35 ; 15 ; 18 
Março; 793 ; 1.510 ; 2.135 ; 1.214 ; 293 ; 256 ; 70 ; 172 ; 139 ; 0 ; 1 ; -   ; -   ; -   ; -   ; -   ; 41 ; 28 ; 19 ; 10 ; 12 
Abril; 636 ; 1.214 ; 1.707 ; 353 ; 268 ; 223 ; 178 ; 100 ; 89 ; 2 ; 3 ; -   ; -   ; -   ; (0); -   ; 57 ; 48 ; 44 ; 29 ; 13 
Maio; 969 ; 1.155 ; 2.126 ; 374 ; 163 ; 155 ; 110 ; 159 ; 122 ; -   ; 0 ; 20 ; -   ; -   ; -   ; -   ; 69 ; 29 ; 27 ; 20 ; 14 
Junho; 1.225 ; 1.038 ; 1.704 ; 360 ; 191 ; 193 ; 183 ; 94 ; 85 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 48 ; 36 ; 26 ; 13 ; 11 
Julho; 1.063 ; 955 ; 1.738 ; 455 ; 1.064 ; 219 ; 192 ; 142 ; 57 ; 2 ; -   ; 3 ; -   ; -   ; -   ; -   ; 44 ; 36 ; 28 ; 26 ; 5 
Agosto; 1.169 ; 1.370 ; 2.195 ; 582 ; 1.116 ; 194 ; 88 ; 151 ; 72 ; -   ; 2 ; -   ; -   ; -   ; 2 ; -   ; 32 ; 38 ; 26 ; 23 ; 6 
Setembro; 1.551 ; 2.476 ; 2.119 ; 485 ; 578 ; 153 ; 60 ; 93 ; 95 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; 41 ; 28 ; 14 ; 9 
Outubro; 1.782 ; 2.631 ; 1.904 ; 553 ; 675 ; 81 ; 122 ; 139 ; 80 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 54 ; 39 ; 20 ; 13 ;
Novembro; 1.131 ; 2.832 ; 1.349 ; 1.205 ; 1.242 ; 115 ; 91 ; 107 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 43 ; 36 ; 29 ; 13 ;
Dezembro; 1.223 ; 2.114 ; 1.216 ; 833 ; 396 ; 103 ; 115 ; 124 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; 70 ; 43 ; 28 ; 16 ;
Total do Ano; 14.004 ; 20.387 ; 22.908 ; 8.627 ; 6.559 ; 2.215 ; 1.396 ; 1.541 ; 962 ; 17 ; 6 ; 24 ; 0 ; 1 ; 7 ; 13 ; 592 ; 462 ; 352 ; 219 ; 98 
