UN. DA FEDERAÇÃO;SÃO PAULO;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 303.055 ; 290.022 ; 250.335 ; 182.257 ; 129.171 ; 111.264 ; 74.561 ; 61.909 ; 52.729 ; 69.854 ; 44.228 ; 39.991 ; 44.384 ; 36.905 ; 27.036 ; 24.548 ; 22.233 ; 19.507 ; 21.691 ; 13.731 ; 13.178 
Fevereiro; 280.320 ; 235.939 ; 187.009 ; 150.649 ; 110.862 ; 90.839 ; 66.014 ; 53.895 ; 59.627 ; 71.837 ; 41.263 ; 36.074 ; 40.120 ; 30.292 ; 25.784 ; 23.813 ; 20.017 ; 15.681 ; 18.155 ; 14.395 ; 10.400 
Março; 320.583 ; 272.481 ; 190.101 ; 154.435 ; 131.158 ; 103.550 ; 81.411 ; 58.796 ; 56.243 ; 85.607 ; 51.330 ; 41.772 ; 41.889 ; 26.915 ; 25.103 ; 27.096 ; 18.939 ; 19.776 ; 17.893 ; 13.060 ; 10.511 
Abril; 257.278 ; 269.263 ; 199.211 ; 154.455 ; 118.565 ; 94.889 ; 71.262 ; 54.476 ; 56.386 ; 68.881 ; 44.455 ; 38.755 ; 32.724 ; 28.201 ; 23.322 ; 25.366 ; 17.144 ; 13.736 ; 18.339 ; 11.047 ; 8.084 
Maio; 261.671 ; 253.568 ; 214.428 ; 155.210 ; 120.978 ; 92.221 ; 68.917 ; 67.951 ; 54.927 ; 45.990 ; 48.541 ; 41.752 ; 42.321 ; 28.177 ; 28.973 ; 25.279 ; 18.536 ; 17.221 ; 11.260 ; 10.440 ; 10.377 
Junho; 320.959 ; 275.356 ; 211.515 ; 140.851 ; 128.901 ; 107.406 ; 70.382 ; 65.460 ; 54.985 ; 48.318 ; 54.795 ; 43.220 ; 39.156 ; 28.111 ; 26.521 ; 21.736 ; 23.469 ; 18.352 ; 18.852 ; 13.123 ; 9.470 
Julho; 301.418 ; 274.682 ; 192.914 ; 163.068 ; 142.716 ; 106.543 ; 69.535 ; 66.610 ; 57.208 ; 56.995 ; 52.120 ; 40.640 ; 40.157 ; 31.107 ; 29.134 ; 22.498 ; 18.857 ; 20.327 ; 17.438 ; 14.095 ; 10.388 
Agosto; 362.922 ; 270.120 ; 191.736 ; 162.104 ; 142.333 ; 114.945 ; 69.055 ; 70.783 ; 52.116 ; 50.596 ; 54.641 ; 46.045 ; 37.860 ; 31.217 ; 29.802 ; 21.111 ; 21.950 ; 21.175 ; 17.794 ; 13.762 ; 10.517 
Setembro; 308.867 ; 316.895 ; 204.454 ; 164.388 ; 134.372 ; 101.277 ; 63.547 ; 61.499 ; 56.896 ; 51.094 ; 46.722 ; 47.724 ; 31.062 ; 30.283 ; 29.491 ; 22.176 ; 18.014 ; 18.517 ; 13.666 ; 12.417 ; 10.812 
Outubro; 313.684 ; 301.573 ; 220.061 ; 164.433 ; 130.960 ; 103.010 ; 64.503 ; 71.434 ; 54.156 ; 51.324 ; 47.197 ; 45.244 ; 34.472 ; 30.334 ; 30.741 ; 22.749 ; 19.549 ; 19.865 ; 14.124 ; 12.867 ;
Novembro; 303.900 ; 231.982 ; 204.166 ; 146.324 ; 128.878 ; 96.459 ; 65.765 ; 76.032 ; 45.772 ; 47.048 ; 42.190 ; 53.506 ; 36.382 ; 29.651 ; 26.549 ; 22.065 ; 17.521 ; 18.523 ; 12.544 ; 9.878 ;
Dezembro; 261.887 ; 222.433 ; 189.764 ; 139.615 ; 121.688 ; 83.954 ; 58.627 ; 52.817 ; 52.758 ; 50.380 ; 43.707 ; 47.477 ; 30.036 ; 28.677 ; 32.695 ; 24.859 ; 17.657 ; 22.027 ; 13.551 ; 12.980 ;
Total do Ano; 3.596.543 ; 3.214.314 ; 2.455.693 ; 1.877.788 ; 1.540.583 ; 1.206.357 ; 823.579 ; 761.662 ; 653.802 ; 697.922 ; 571.189 ; 522.200 ; 450.563 ; 359.873 ; 335.150 ; 283.297 ; 233.886 ; 224.706 ; 195.306 ; 151.794 ; 93.736 
