Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 78.638 ; 82.786 ; 88.343 ; 96.364 ; 96.764 ; 108.182 ; 106.870 ; 117.893 ; 119.718 ; 112.559 ; 115.796 ; 132.901 ; 148.021 ; 160.874 ; 176.429 ; 189.163 ; 166.157 ; 164.336 ; 171.732 ; 189.574 ; 192.730 ; 191.463 ; 210.821 
Fevereiro; 86.690 ; 76.661 ; 83.581 ; 82.763 ; 81.499 ; 95.103 ; 97.898 ; 105.515 ; 115.257 ; 98.671 ; 112.217 ; 122.953 ; 143.088 ; 149.426 ; 160.325 ; 159.239 ; 169.908 ; 146.893 ; 160.262 ; 181.092 ; 192.602 ; 203.204 ; 225.319 
Março; 72.641 ; 89.755 ; 89.487 ; 83.408 ; 93.777 ; 102.420 ; 107.697 ; 116.105 ; 112.056 ; 106.808 ; 128.440 ; 138.859 ; 154.355 ; 160.134 ; 164.418 ; 187.005 ; 173.988 ; 177.038 ; 188.645 ; 177.596 ; 202.585 ; 238.316 ; 231.888 
Abril; 72.609 ; 78.689 ; 82.256 ; 80.831 ; 94.440 ; 102.526 ; 95.217 ; 106.925 ; 113.924 ; 105.971 ; 118.784 ; 128.073 ; 147.961 ; 165.821 ; 175.045 ; 184.502 ; 176.443 ; 160.361 ; 178.901 ; 180.663 ; 188.184 ; 228.844 ; 222.518 
Maio; 83.181 ; 91.785 ; 93.193 ; 93.808 ; 100.241 ; 106.018 ; 105.956 ; 119.225 ; 118.796 ; 100.420 ; 125.487 ; 138.580 ; 167.378 ; 168.158 ; 186.710 ; 185.149 ; 183.172 ; 191.046 ; 169.863 ; 195.784 ; 197.420 ; 229.518 ; 239.671 
Junho; 93.602 ; 96.814 ; 91.406 ; 95.033 ; 105.791 ; 112.168 ; 115.822 ; 120.555 ; 127.060 ; 114.486 ; 133.315 ; 151.907 ; 171.848 ; 174.650 ; 188.238 ; 197.720 ; 189.941 ; 188.361 ; 199.196 ; 197.884 ; 219.403 ; 238.051 ; 238.938 
Julho; 91.214 ; 104.795 ; 101.779 ; 108.504 ; 113.540 ; 114.670 ; 120.356 ; 128.336 ; 136.525 ; 130.163 ; 144.714 ; 157.935 ; 175.692 ; 187.805 ; 202.622 ; 210.375 ; 183.458 ; 179.683 ; 207.265 ; 229.976 ; 250.221 ; 252.032 ;
Agosto; 102.472 ; 109.061 ; 103.952 ; 103.715 ; 119.564 ; 123.215 ; 132.143 ; 137.758 ; 138.771 ; 129.870 ; 148.306 ; 168.134 ; 191.153 ; 190.240 ; 202.373 ; 204.597 ; 192.280 ; 205.532 ; 218.289 ; 230.026 ; 246.890 ; 250.140 ;
Setembro; 97.622 ; 99.157 ; 87.974 ; 109.076 ; 126.679 ; 118.913 ; 130.814 ; 126.261 ; 139.287 ; 133.474 ; 150.712 ; 165.920 ; 175.838 ; 188.651 ; 206.451 ; 209.585 ; 182.678 ; 198.765 ; 199.012 ; 211.519 ; 244.190 ; 237.410 ;
Outubro; 98.648 ; 106.972 ; 115.543 ; 115.958 ; 118.302 ; 117.334 ; 126.388 ; 139.998 ; 142.318 ; 140.515 ; 149.984 ; 167.005 ; 190.119 ; 208.029 ; 225.958 ; 208.898 ; 173.449 ; 197.234 ; 214.875 ; 233.048 ; 248.290 ; 242.790 ;
Novembro; 101.104 ; 101.801 ; 93.650 ; 101.747 ; 124.361 ; 117.020 ; 126.620 ; 133.892 ; 123.354 ; 129.371 ; 155.297 ; 171.042 ; 182.714 ; 197.466 ; 202.223 ; 191.820 ; 175.437 ; 194.939 ; 204.451 ; 212.006 ; 216.643 ; 230.143 ;
Dezembro; 91.067 ; 95.140 ; 102.208 ; 107.827 ; 122.329 ; 114.559 ; 122.193 ; 128.986 ; 122.769 ; 136.775 ; 152.329 ; 166.550 ; 170.574 ; 182.871 ; 202.328 ; 193.353 ; 173.175 ; 180.146 ; 186.152 ; 192.953 ; 218.678 ; 223.039 ;
