UN. DA FEDERAÇÃO;RORAIMA;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 13.676 ; 6.462 ; 5.492 ; 5.545 ; 3.988 ; 4.410 ; 4.404 ; 4.950 ; 5.800 ; 5.652 ; 8.482 ; 7.372 ; 8.255 ; 8.739 ; 10.229 ; 11.557 ; 8.731 ; 8.570 ; 10.362 ; 19.955 ; 36.226 
Fevereiro; 13.272 ; 6.352 ; 5.383 ; 4.730 ; 4.643 ; 4.265 ; 4.682 ; 5.262 ; 6.118 ; 5.374 ; 10.571 ; 7.693 ; 8.304 ; 7.944 ; 11.014 ; 11.841 ; 9.367 ; 9.097 ; 11.428 ; 20.666 ; 38.811 
Março; 15.978 ; 7.940 ; 5.697 ; 4.514 ; 4.935 ; 5.261 ; 5.197 ; 5.163 ; 6.161 ; 6.219 ; 12.471 ; 7.734 ; 8.775 ; 9.567 ; 11.376 ; 14.075 ; 18.566 ; 10.024 ; 16.514 ; 33.833 ; 41.456 
Abril; 21.278 ; 7.741 ; 4.987 ; 5.036 ; 4.863 ; 4.649 ; 4.194 ; 5.125 ; 6.062 ; 6.061 ; 14.160 ; 7.529 ; 7.041 ; 10.425 ; 10.624 ; 12.377 ; 9.609 ; 9.349 ; 10.014 ; 41.028 ; 35.874 
Maio; 13.845 ; 6.924 ; 5.029 ; 4.505 ; 4.062 ; 3.940 ; 4.619 ; 3.426 ; 4.848 ; 6.151 ; 17.423 ; 6.510 ; 6.388 ; 6.958 ; 11.428 ; 11.597 ; 7.663 ; 10.324 ; 8.669 ; 32.929 ; 34.633 
Junho; 5.636 ; 5.810 ; 4.266 ; 4.253 ; 3.807 ; 4.079 ; 4.043 ; 3.864 ; 4.730 ; 5.188 ; 15.883 ; 5.704 ; 6.172 ; 6.586 ; 7.642 ; 8.255 ; 6.913 ; 7.749 ; 9.959 ; 28.981 ; 30.345 
Julho; 5.413 ; 6.842 ; 4.519 ; 3.706 ; 3.792 ; 3.830 ; 3.484 ; 3.910 ; 4.848 ; 5.282 ; 17.168 ; 6.100 ; 5.783 ; 6.637 ; 8.271 ; 7.222 ; 6.169 ; 6.002 ; 7.360 ; 31.665 ; 34.763 
Agosto; 6.235 ; 4.501 ; 5.291 ; 3.946 ; 3.952 ; 4.496 ; 4.280 ; 4.332 ; 4.986 ; 5.359 ; 16.942 ; 7.334 ; 6.024 ; 6.547 ; 7.589 ; 6.997 ; 8.238 ; 9.600 ; 10.228 ; 36.037 ; 34.962 
Setembro; 7.418 ; 4.168 ; 5.352 ; 3.636 ; 5.022 ; 4.579 ; 4.764 ; 4.194 ; 6.108 ; 5.694 ; 7.545 ; 7.354 ; 6.688 ; 8.090 ; 12.081 ; 13.879 ; 8.727 ; 11.485 ; 22.364 ; 34.870 ; 38.392 
Outubro; 7.142 ; 4.915 ; 5.739 ; 4.251 ; 4.530 ; 3.800 ; 4.446 ; 4.837 ; 5.727 ; 6.093 ; 8.068 ; 7.259 ; 6.950 ; 10.475 ; 10.686 ; 12.207 ; 9.211 ; 12.883 ; 27.303 ; 38.494 ;
Novembro; 7.290 ; 5.047 ; 4.882 ; 493 ; 5.043 ; 4.406 ; 4.128 ; 5.060 ; 5.482 ; 6.099 ; 7.175 ; 7.698 ; 7.980 ; 9.814 ; 12.711 ; 8.863 ; 11.492 ; 13.316 ; 17.642 ; 40.888 ;
Dezembro; 7.311 ; 5.180 ; 5.591 ; 4.827 ; 5.376 ; 4.521 ; 4.414 ; 5.642 ; 7.176 ; 7.605 ; 7.581 ; 7.879 ; 7.841 ; 9.802 ; 13.927 ; 9.647 ; 13.677 ; 12.214 ; 15.380 ; 36.361 ;
Total do Ano; 124.494 ; 71.884 ; 62.227 ; 49.444 ; 54.012 ; 52.236 ; 52.656 ; 55.766 ; 68.045 ; 70.775 ; 143.470 ; 86.167 ; 86.201 ; 101.583 ; 127.577 ; 128.516 ; 118.363 ; 120.613 ; 167.223 ; 395.706 ; 325.462 
